호선,역명,lat,lng,주소,역번호
1,서울역,37.563054,126.9755254,서울특별시 중구 세종대로 지하 2,150
1,시청,37.563054,126.9755254,서울특별시 중구 세종대로 지하 101,151
1,종각,37.5701735,126.985657,서울특별시 종로구 종로 지하 55,152
1,종로3가,37.5701735,126.985657,서울특별시 종로구 종로 지하 129,153
1,종로5가,37.5701735,126.985657,서울특별시 종로구 종로 지하 216,154
1,동대문,37.5701735,126.985657,서울특별시 종로구 종로 지하 302,155
1,신설동,37.5807737,127.0397395,서울특별시 동대문구 왕산로 지하 1,156
1,제기동,37.5807737,127.0397395,서울특별시 동대문구 왕산로 지하 93,157
1,청량리,37.5807737,127.0397395,서울특별시 동대문구 왕산로 지하 205,158
1,동묘앞,37.5735962,127.0171394,서울특별시 종로구 종로 359,159
2,까치산,37.5512896,126.8417531,서울특별시 강서구 강서로 지하54,200
2,을지로입구,37.5665899,126.9982939,서울특별시 중구 을지로 지하 42,202
2,을지로3가,37.5665899,126.9982939,서울특별시 중구 을지로 지하 106,203
2,을지로4가,37.5665899,126.9982939,서울특별시 중구 을지로 지하 178,204
2,동대문역사문화공원,37.5665899,126.9982939,서울특별시 중구 을지로 지하 279,205
2,신당,37.5613874,126.9962601,서울특별시 중구 퇴계로 지하 431-1,206
2,상왕십리,37.5536986,127.0391633,서울특별시 성동구 왕십리로 지하 374,207
2,왕십리,37.5536986,127.0391633,서울특별시 성동구 왕십리로 지하300,208
2,한양대,37.5536986,127.0391633,서울특별시 성동구 왕십리로 206,209
2,뚝섬,37.5463387,127.0535209,서울특별시 성동구 아차산로 18,210
2,성수,37.5446813,127.0569827,서울특별시 성동구 아차산로 100,211
2,건대입구,37.54081559999999,127.0690315,서울특별시 광진구 아차산로 243,212
2,구의,37.5380692,127.0890292,서울특별시 광진구 아차산로 384-1,213
2,강변,37.5353816,127.0945451,서울특별시 광진구 강변역로 53,214
2,잠실나루,37.5189313,127.104757,서울특별시 송파구 오금로 20,215
2,잠실,37.52099219999999,127.0991094,서울특별시 송파구 올림픽로 지하 265,216
2,잠실새내,37.52099219999999,127.0991094,서울특별시 송파구 올림픽로 지하 140,217
2,종합운동장,37.52099219999999,127.0991094,서울특별시 송파구 올림픽로 지하 23,218
2,삼성,37.5041073,127.0475882,서울특별시 강남구 테헤란로 지하 538,219
2,선릉,37.5041073,127.0475882,서울특별시 강남구 테헤란로 지하 340,220
2,역삼,37.5041073,127.0475882,서울특별시 강남구 테헤란로 지하 156,221
2,강남,37.5061648,127.0257813,서울특별시 강남구 강남대로 지하 396,222
2,교대,37.4910405,127.004581,서울특별시 서초구 서초대로 지하 294,223
2,서초,37.4910405,127.004581,서울특별시 서초구 서초대로 지하 233,224
2,방배,37.486721,126.9949218,서울특별시 서초구 방배로 지하 80,225
2,사당,37.4799015,126.9404631,서울특별시 동작구 남부순환로 지하 2089,226
2,낙성대,37.4799015,126.9404631,서울특별시 관악구 남부순환로 지하 1928,227
2,서울대입구,37.4799015,126.9404631,서울특별시 관악구 남부순환로 지하 1822,228
2,봉천,37.4799015,126.9404631,서울특별시 관악구 남부순환로 지하 1721,229
2,신림,37.4799015,126.9404631,서울특별시 관악구 남부순환로 지하 1614,230
2,신대방,37.487549,126.9129603,서울특별시 동작구 대림로 2,231
2,구로디지털단지,37.485363,126.9010775,서울특별시 구로구 도림천로 477,232
2,대림,37.4923805,126.8914611,서울 구로구 구로6동 125-66,233
2,신도림,37.5043809,126.8877374,서울특별시 구로구 새말로 지하 117-21,234
2,문래,37.5251247,126.8982447,서울특별시 영등포구 당산로 지하 28,235
2,영등포구청,37.5251247,126.8982447,서울특별시 영등포구 당산로 지하 121,236
2,당산,37.5352128,126.9026157,서울특별시 영등포구 당산로 229,237
2,합정,37.5534256,126.9186096,서울특별시 마포구 양화로 지하 55,238
2,홍대입구,37.5534256,126.9186096,서울특별시 마포구 양화로 지하160,239
2,신촌,37.5577706,126.9440849,서울특별시 마포구 신촌로 지하 90,240
2,이대,37.5577706,126.9440849,서울특별시 마포구 신촌로 지하 180,241
2,아현,37.5577706,126.9440849,서울특별시 마포구 신촌로 지하 270,242
2,충정로,37.5620564,126.9703594,서울특별시 서대문구 서소문로 지하 17,243
2,용답,37.5669045,127.0496653,서울특별시 성동구 용답길 86,244
2,신답,37.5706952,127.0454382,서울특별시 성동구 천호대로 232,245
2,도림천,37.5142835,126.8829718,서울특별시 구로구 경인로 67길 160,247
2,양천구청,37.5113363,126.8630691,서울특별시 양천구 목동로3길 지하 33,248
2,신정네거리,37.5195255,126.8528661,서울특별시 양천구 중앙로 지하 261,249
2,용두,37.5645064,127.0575456,서울특별시 동대문구 천호대로 지하 129,250
3,지축,37.6487922,126.911372,경기도 고양시 덕양구 삼송로 300,309
3,구파발,37.6358242,126.9241625,서울특별시 은평구 진관2로 지하 15-25,310
3,연신내,37.6240118,126.923912,서울특별시 은평구 통일로 지하 849,311
3,불광,37.6240118,126.923912,서울특별시 은평구 통일로 지하 723-1,312
3,녹번,37.6240118,126.923912,서울특별시 은평구 통일로 지하 602-1,313
